symbol,timestamp,open,high,low,close,volume
BCHUSDT,2023-10-18T23:00:00Z,227.62,227.74,226.50,226.69,14835.519
XRPUSDT,2023-10-18T23:00:00Z,0.4885,0.4888,0.4869,0.4874,23446439.9
LTCUSDT,2023-10-18T23:00:00Z,60.67,60.67,60,60.19,202716.273
TRXUSDT,2023-10-18T23:00:00Z,0.08923,0.08932,0.08908,0.08912,13875643
ETCUSDT,2023-10-18T23:00:00Z,14.851,14.859,14.798,14.800,66636.47
LINKUSDT,2023-10-18T23:00:00Z,7.367,7.368,7.351,7.354,443916.10
XLMUSDT,2023-10-18T23:00:00Z,0.10329,0.10338,0.10308,0.10318,8183429
CHZUSDT,2023-10-18T23:00:00Z,0.05720,0.05724,0.05687,0.05703,15118405
SANDUSDT,2023-10-18T23:00:00Z,0.28340,0.28370,0.28270,0.28280,2841358
REEFUSDT,2023-10-18T23:00:00Z,0.001223,0.001228,0.001221,0.001225,122051058
CHRUSDT,2023-10-18T23:00:00Z,0.0871,0.0873,0.0866,0.0867,1726770
ALICEUSDT,2023-10-18T23:00:00Z,0.676,0.678,0.673,0.673,311727.9
ONEUSDT,2023-10-18T23:00:00Z,0.00887,0.00887,0.00880,0.00881,16333368
API3USDT,2023-10-18T23:00:00Z,1.0198,1.0225,1.0188,1.0201,209983.9
GMTUSDT,2023-10-18T23:00:00Z,0.14330,0.14360,0.14290,0.14310,5698321
APEUSDT,2023-10-18T23:00:00Z,1.1090,1.1150,1.1070,1.1100,3584652
OPUSDT,2023-10-18T23:00:00Z,1.1904000,1.1907000,1.1846000,1.1865000,1368609.1
INJUSDT,2023-10-18T23:00:00Z,8.116000,8.123000,8.069000,8.110000,271666.9
LDOUSDT,2023-10-18T23:00:00Z,1.495600,1.496500,1.487400,1.491100,438949
APTUSDT,2023-10-18T23:00:00Z,4.93800,4.94500,4.92900,4.93700,181311.9
