run_id,strategy_id,symbol,window_start,window_end,observation_count,trade_count,net_return,total_cost,maximum_drawdown,status,receipt_path
H002_momentum__BTCUSDT__early,H002_momentum,BTCUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,200,0.1831502639159588,0.2,-0.2461688963156201,completed,experiments/runs/first_batch/H002_momentum__BTCUSDT__early/run_receipt.json
H002_momentum__BTCUSDT__middle,H002_momentum,BTCUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,226,0.09093930753946933,0.22599999999999998,-0.18124509959596113,completed,experiments/runs/first_batch/H002_momentum__BTCUSDT__middle/run_receipt.json
H002_momentum__BTCUSDT__late,H002_momentum,BTCUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,194,-0.24245035266882287,0.194,-0.2791131212476792,completed,experiments/runs/first_batch/H002_momentum__BTCUSDT__late/run_receipt.json
H002_momentum__ETHUSDT__early,H002_momentum,ETHUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,179,0.5876140024116965,0.179,-0.21743893910843004,completed,experiments/runs/first_batch/H002_momentum__ETHUSDT__early/run_receipt.json
H002_momentum__ETHUSDT__middle,H002_momentum,ETHUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,238,0.10769485107462362,0.238,-0.14298660294273635,completed,experiments/runs/first_batch/H002_momentum__ETHUSDT__middle/run_receipt.json
H002_momentum__ETHUSDT__late,H002_momentum,ETHUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,190,-0.24712197521271573,0.19,-0.32838625513280073,completed,experiments/runs/first_batch/H002_momentum__ETHUSDT__late/run_receipt.json
H002_momentum__SOLUSDT__early,H002_momentum,SOLUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,165,2.215946757087238,0.165,-0.3144424470164834,completed,experiments/runs/first_batch/H002_momentum__SOLUSDT__early/run_receipt.json
H002_momentum__SOLUSDT__middle,H002_momentum,SOLUSDT,2023-10-15T00:00:00Z,2024-01-12T23:00:00Z,2159,170,1.392158590336686,0.16999999999999998,-0.2777561699296276,completed,experiments/runs/first_batch/H002_momentum__SOLUSDT__middle/run_receipt.json
H002_momentum__SOLUSDT__late,H002_momentum,SOLUSDT,2026-04-29T00:00:00Z,2026-07-27T23:00:00Z,2159,204,-0.18385059468373688,0.20400000000000001,-0.2283521229731612,completed,experiments/runs/first_batch/H002_momentum__SOLUSDT__late/run_receipt.json
H003_moving_average__BTCUSDT__early,H003_moving_average,BTCUSDT,2021-01-01T00:00:00Z,2021-03-31T23:00:00Z,2157,23,0.42616883631325364,0.023,-0.29256085672978405,completed,experiments/runs/first_batch/H003_moving_average__BTCUSDT__early/run_receipt.json
