run_id,strategy_id,symbol,period,cost_mode,observation_count,trade_count,net_return,buy_and_hold_return,excess_return_vs_buy_and_hold,total_cost,maximum_drawdown,status,receipt_path
H002_momentum__BTCUSDT__2022__baseline,H002_momentum,BTCUSDT,2022,baseline,8759,878,-0.8297482737069982,-0.645439945404816,-0.18430832830218224,0.8780000000000001,-0.8300123445328642,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2022__baseline/run_receipt.json
H002_momentum__BTCUSDT__2022__stress,H002_momentum,BTCUSDT,2022,stress,8759,878,-0.9293598099704105,-0.645439945404816,-0.2839198645655945,1.7560000000000002,-0.9293598099704105,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2022__stress/run_receipt.json
H002_momentum__BTCUSDT__2024__baseline,H002_momentum,BTCUSDT,2024,baseline,8783,851,-0.4705195235362152,1.2030722376312029,-1.673591761167418,0.8510000000000001,-0.5507271073085314,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2024__baseline/run_receipt.json
H002_momentum__BTCUSDT__2024__stress,H002_momentum,BTCUSDT,2024,stress,8783,851,-0.7742301418714762,1.2030722376312029,-1.977302379502679,1.7020000000000002,-0.7849149711875554,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2024__stress/run_receipt.json
H002_momentum__BTCUSDT__2025__baseline,H002_momentum,BTCUSDT,2025,baseline,8759,874,-0.6791453596735977,-0.07153430562385155,-0.6076110540497461,0.8740000000000001,-0.6901541489789652,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2025__baseline/run_receipt.json
H002_momentum__BTCUSDT__2025__stress,H002_momentum,BTCUSDT,2025,stress,8759,874,-0.8663005038848854,-0.07153430562385155,-0.7947661982610339,1.7480000000000002,-0.8694148289555953,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2025__stress/run_receipt.json
H002_momentum__BTCUSDT__2026YTD__baseline,H002_momentum,BTCUSDT,2026YTD,baseline,4991,446,-0.48019571331927846,-0.27392758141712437,-0.2062681319021541,0.44600000000000006,-0.5105413935822375,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2026YTD__baseline/run_receipt.json
H002_momentum__BTCUSDT__2026YTD__stress,H002_momentum,BTCUSDT,2026YTD,stress,4991,446,-0.6675050232763478,-0.27392758141712437,-0.3935774418592234,0.8920000000000001,-0.6859736463883912,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__BTCUSDT__2026YTD__stress/run_receipt.json
H002_momentum__ETHUSDT__2022__baseline,H002_momentum,ETHUSDT,2022,baseline,8759,840,-0.7783160628309795,-0.6787222269972926,-0.09959383583368697,0.8400000000000001,-0.7833905951185358,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__ETHUSDT__2022__baseline/run_receipt.json
H002_momentum__ETHUSDT__2022__stress,H002_momentum,ETHUSDT,2022,stress,8759,840,-0.9044311098499064,-0.6787222269972926,-0.2257088828526138,1.6800000000000002,-0.9065251939727753,completed,experiments/runs/h002_h003_followup_v1/H002_momentum__ETHUSDT__2022__stress/run_receipt.json
