family,symbol,params,net_10bps,max_drawdown,sharpe,cross_asset_interesting_count,verdict
H002_momentum,BTCUSDT,"{""lookback"": 24, ""mode"": ""long_flat""}",-0.9966586498853058,-0.9977527958963701,-2.405065843058947,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,BTCUSDT,"{""lookback"": 72, ""mode"": ""long_flat""}",-0.8346144021808467,-0.908190971827112,-0.6319179283495893,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,BTCUSDT,"{""lookback"": 168, ""mode"": ""long_flat""}",-0.6627454665990509,-0.7846649558784213,-0.3199773148827601,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,BTCUSDT,"{""lookback"": 72, ""mode"": ""long_short""}",-0.995070206384427,-0.9973015360302351,-1.3321690285890568,0,KILLED_NEGATIVE_BASE_COST
H003_moving_average,BTCUSDT,"{""fast"": 12, ""mode"": ""long_flat"", ""slow"": 48}",-0.5202598230050536,-0.7434609290556871,-0.14244347125314616,0,KILLED_NEGATIVE_BASE_COST
H003_moving_average,BTCUSDT,"{""fast"": 24, ""mode"": ""long_flat"", ""slow"": 96}",0.10018366405810264,-0.7156025669637478,0.237325881326568,0,KILLED_ONE_REGIME
H003_moving_average,BTCUSDT,"{""fast"": 48, ""mode"": ""long_flat"", ""slow"": 192}",0.3232933044768789,-0.5494007240283383,0.3220213315837424,1,KILLED_ONE_REGIME
H003_moving_average,BTCUSDT,"{""fast"": 24, ""mode"": ""long_short"", ""slow"": 96}",-0.7882254790776038,-0.8498366566056711,-0.1849089684645705,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,BTCUSDT,"{""lookback"": 24, ""mode"": ""long_short"", ""threshold"": 1.5}",-0.9999898215830351,-0.9999899701806901,-8.101340852564249,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,BTCUSDT,"{""lookback"": 48, ""mode"": ""long_short"", ""threshold"": 2.0}",-0.9977982619959241,-0.9978425775561746,-5.760340174580458,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,BTCUSDT,"{""lookback"": 72, ""mode"": ""long_short"", ""threshold"": 2.0}",-0.9958429924221994,-0.9958871591943516,-5.299825544135037,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,BTCUSDT,"{""lookback"": 24, ""mode"": ""long_flat""}",-0.992948571320253,-0.9933350965652064,-4.611830909513095,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,BTCUSDT,"{""lookback"": 72, ""mode"": ""long_flat""}",-0.9316570654733034,-0.9355556911434146,-3.2941353850426824,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,BTCUSDT,"{""lookback"": 168, ""mode"": ""long_flat""}",-0.7790603584166716,-0.7894666068727457,-2.2934296745464886,0,KILLED_NEGATIVE_BASE_COST
H005_donchian,BTCUSDT,"{""lookback"": 72, ""mode"": ""long_short""}",-0.9967885717830155,-0.9969812889818036,-4.490880873084728,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,ETHUSDT,"{""lookback"": 24, ""mode"": ""long_flat""}",-0.994550909249999,-0.9976293147444749,-1.5964494165702028,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,ETHUSDT,"{""lookback"": 72, ""mode"": ""long_flat""}",-0.6437808024906531,-0.8828694540616072,-0.11547899499815328,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,ETHUSDT,"{""lookback"": 168, ""mode"": ""long_flat""}",-0.3728614314143588,-0.7370172860315317,0.07617579001905124,0,KILLED_NEGATIVE_BASE_COST
H002_momentum,ETHUSDT,"{""lookback"": 72, ""mode"": ""long_short""}",-0.9900047490062985,-0.9940740970739237,-0.6947488775462082,0,KILLED_NEGATIVE_BASE_COST
H003_moving_average,ETHUSDT,"{""fast"": 12, ""mode"": ""long_flat"", ""slow"": 48}",-0.1714447605346472,-0.7779098218084852,0.1910969986468571,0,KILLED_NEGATIVE_BASE_COST
H003_moving_average,ETHUSDT,"{""fast"": 24, ""mode"": ""long_flat"", ""slow"": 96}",0.41725988967046024,-0.6961565305461521,0.3750031546902721,0,KILLED_LONG_BETA
H003_moving_average,ETHUSDT,"{""fast"": 48, ""mode"": ""long_flat"", ""slow"": 192}",0.13200645943323108,-0.6356571669316746,0.29626762636809906,1,KILLED_LONG_BETA
H003_moving_average,ETHUSDT,"{""fast"": 24, ""mode"": ""long_short"", ""slow"": 96}",-0.8207973544004827,-0.9428523864232511,-0.023011235062646674,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,ETHUSDT,"{""lookback"": 24, ""mode"": ""long_short"", ""threshold"": 1.5}",-0.9999891531326722,-0.9999893515911885,-6.349086871098147,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,ETHUSDT,"{""lookback"": 48, ""mode"": ""long_short"", ""threshold"": 2.0}",-0.9977685699626336,-0.9977938898283205,-4.528562105539695,0,KILLED_NEGATIVE_BASE_COST
H004_mean_reversion,ETHUSDT,"{""lookback"": 72, ""mode"": ""long_short"", ""threshold"": 2.0}",-0.9964475190648675,-0.9965343325416144,-4.2303020635188995,0,KILLED_NEGATIVE_BASE_COST
